Type,SemOpenAlex items,Final alignments,Target-side coverage
concept,65073,1526,0.023450586264656615
institution,111863,27355,0.2445401964903498
source,260808,11373,0.043606791202723844
publisher,10741,1553,0.14458616516153058
funder,32437,1074,0.033110336960878006
keyword,4516,343,0.07595217006200178
topic,4516,1,0.00022143489813994686
subfield,252,3,0.011904761904761904
field,26,1,0.038461538461538464
domain,4,0,0.0
