Dataset,Degree threshold,Nodes at degree,Nodes with degree at least threshold,CCDF
YAGO held-out,162,2,75,0.0002849522420042401
YAGO held-out,165,1,73,0.00027735351555079366
YAGO held-out,167,1,72,0.0002735541523240705
YAGO held-out,170,1,71,0.0002697547890973473
YAGO held-out,174,1,70,0.0002659554258706241
YAGO held-out,177,1,69,0.0002621560626439009
YAGO held-out,180,1,68,0.00025835669941717766
YAGO held-out,182,1,67,0.00025455733619045447
YAGO held-out,195,1,66,0.0002507579729637313
YAGO held-out,209,1,65,0.0002469586097370081
YAGO held-out,210,1,64,0.00024315924651028488
YAGO held-out,212,2,63,0.00023935988328356169
YAGO held-out,221,1,61,0.00023176115683011528
YAGO held-out,223,2,60,0.00022796179360339206
YAGO held-out,228,1,58,0.00022036306714994566
YAGO held-out,229,1,57,0.00021656370392322247
YAGO held-out,230,1,56,0.00021276434069649928
YAGO held-out,233,1,55,0.00020896497746977606
YAGO held-out,237,1,54,0.00020516561424305287
YAGO held-out,246,1,53,0.00020136625101632965
YAGO held-out,252,1,52,0.00019756688778960646
YAGO held-out,257,1,51,0.00019376752456288327
YAGO held-out,260,1,50,0.00018996816133616006
YAGO held-out,266,1,49,0.00018616879810943687
YAGO held-out,289,1,48,0.00018236943488271365
YAGO held-out,291,1,47,0.00017857007165599046
YAGO held-out,299,1,46,0.00017477070842926724
YAGO held-out,303,1,45,0.00017097134520254405
YAGO held-out,310,1,44,0.00016717198197582086
YAGO held-out,311,1,43,0.00016337261874909765
YAGO held-out,330,1,42,0.00015957325552237446
YAGO held-out,331,1,41,0.00015577389229565124
YAGO held-out,332,1,40,0.00015197452906892805
YAGO held-out,338,1,39,0.00014817516584220483
YAGO held-out,350,1,38,0.00014437580261548164
YAGO held-out,356,1,37,0.00014057643938875845
YAGO held-out,385,1,36,0.00013677707616203524
YAGO held-out,405,1,35,0.00013297771293531205
YAGO held-out,407,1,34,0.00012917834970858883
YAGO held-out,409,1,33,0.00012537898648186564
YAGO held-out,416,1,32,0.00012157962325514244
YAGO held-out,442,1,31,0.00011778026002841923
YAGO held-out,467,1,30,0.00011398089680169603
YAGO held-out,476,1,29,0.00011018153357497283
YAGO held-out,482,1,28,0.00010638217034824964
YAGO held-out,483,1,27,0.00010258280712152643
YAGO held-out,512,2,26,9.878344389480323e-05
YAGO held-out,528,1,24,9.118471744135682e-05
YAGO held-out,548,1,23,8.738535421463362e-05
YAGO held-out,573,1,22,8.358599098791043e-05
YAGO held-out,585,1,21,7.978662776118723e-05
YAGO held-out,599,1,20,7.598726453446403e-05
YAGO held-out,604,1,19,7.218790130774082e-05
YAGO held-out,638,1,18,6.838853808101762e-05
YAGO held-out,670,1,17,6.458917485429442e-05
YAGO held-out,732,1,16,6.078981162757122e-05
YAGO held-out,852,1,15,5.6990448400848016e-05
YAGO held-out,881,1,14,5.319108517412482e-05
YAGO held-out,925,1,13,4.9391721947401616e-05
YAGO held-out,1140,1,12,4.559235872067841e-05
YAGO held-out,1251,1,11,4.1792995493955216e-05
YAGO held-out,1746,1,10,3.799363226723201e-05
YAGO held-out,1851,1,9,3.419426904050881e-05
YAGO held-out,2039,1,8,3.039490581378561e-05
YAGO held-out,2044,1,7,2.659554258706241e-05
YAGO held-out,2104,1,6,2.2796179360339206e-05
YAGO held-out,2220,1,5,1.8996816133616006e-05
YAGO held-out,3023,1,4,1.5197452906892805e-05
YAGO held-out,3269,1,3,1.1398089680169603e-05
YAGO held-out,3435,1,2,7.598726453446402e-06
YAGO held-out,6474,1,1,3.799363226723201e-06
SemOpenAlex 100k sample,1,170295,175031,1.0
SemOpenAlex 100k sample,2,2230,4736,0.027058064000091413
SemOpenAlex 100k sample,3,931,2506,0.014317463763561883
SemOpenAlex 100k sample,4,513,1575,0.008998405996652022
SemOpenAlex 100k sample,5,274,1062,0.0060674966148853635
SemOpenAlex 100k sample,6,212,788,0.004502059635150345
SemOpenAlex 100k sample,7,106,576,0.0032908456216327393
SemOpenAlex 100k sample,8,74,470,0.0026852386148739364
SemOpenAlex 100k sample,9,50,396,0.0022624563648725084
SemOpenAlex 100k sample,10,45,346,0.0019767926824391106
SemOpenAlex 100k sample,11,33,301,0.001719695368249053
SemOpenAlex 100k sample,12,30,268,0.0015311573378430107
SemOpenAlex 100k sample,13,20,238,0.001359759128382972
SemOpenAlex 100k sample,14,14,218,0.0012454936554096132
SemOpenAlex 100k sample,15,17,204,0.0011655078243282618
SemOpenAlex 100k sample,16,8,187,0.0010683821723009067
SemOpenAlex 100k sample,17,12,179,0.001022675983111563
SemOpenAlex 100k sample,18,10,167,0.0009541166993275477
SemOpenAlex 100k sample,19,12,157,0.0008969839628408682
SemOpenAlex 100k sample,20,12,145,0.0008284246790568528
SemOpenAlex 100k sample,21,7,133,0.0007598653952728373
SemOpenAlex 100k sample,22,7,126,0.0007198724797321617
SemOpenAlex 100k sample,23,4,119,0.000679879564191486
SemOpenAlex 100k sample,24,9,115,0.0006570264695968142
SemOpenAlex 100k sample,25,4,106,0.0006056070067588027
SemOpenAlex 100k sample,26,6,102,0.0005827539121641309
SemOpenAlex 100k sample,27,2,96,0.0005484742702721232
SemOpenAlex 100k sample,28,6,94,0.0005370477229747874
SemOpenAlex 100k sample,29,1,88,0.0005027680810827796
SemOpenAlex 100k sample,30,4,87,0.0004970548074341117
SemOpenAlex 100k sample,31,2,83,0.00047420171283943987
SemOpenAlex 100k sample,32,2,81,0.00046277516554210396
SemOpenAlex 100k sample,33,3,79,0.00045134861824476806
SemOpenAlex 100k sample,34,2,76,0.00043420879729876423
SemOpenAlex 100k sample,36,3,74,0.0004227822500014283
SemOpenAlex 100k sample,37,3,71,0.0004056424290554245
SemOpenAlex 100k sample,38,1,68,0.0003885026081094206
SemOpenAlex 100k sample,39,2,67,0.0003827893344607527
SemOpenAlex 100k sample,40,3,65,0.0003713627871634168
SemOpenAlex 100k sample,42,2,62,0.0003542229662174129
SemOpenAlex 100k sample,46,1,60,0.000342796418920077
SemOpenAlex 100k sample,48,1,59,0.00033708314527140906
SemOpenAlex 100k sample,51,2,58,0.00033136987162274114
SemOpenAlex 100k sample,54,1,56,0.00031994332432540523
SemOpenAlex 100k sample,56,2,55,0.00031423005067673725
SemOpenAlex 100k sample,57,1,53,0.00030280350337940135
SemOpenAlex 100k sample,59,1,52,0.0002970902297307334
SemOpenAlex 100k sample,60,1,51,0.00029137695608206544
SemOpenAlex 100k sample,61,1,50,0.0002856636824333975
SemOpenAlex 100k sample,63,1,49,0.00027995040878472954
SemOpenAlex 100k sample,65,3,48,0.0002742371351360616
SemOpenAlex 100k sample,66,2,45,0.0002570973141900578
SemOpenAlex 100k sample,67,1,43,0.0002456707668927219
SemOpenAlex 100k sample,68,1,42,0.0002399574932440539
SemOpenAlex 100k sample,71,1,41,0.00023424421959538597
SemOpenAlex 100k sample,73,1,40,0.00022853094594671802
SemOpenAlex 100k sample,76,1,39,0.00022281767229805007
SemOpenAlex 100k sample,79,1,38,0.00021710439864938211
SemOpenAlex 100k sample,80,1,37,0.00021139112500071416
SemOpenAlex 100k sample,84,1,36,0.0002056778513520462
SemOpenAlex 100k sample,89,1,35,0.00019996457770337826
SemOpenAlex 100k sample,97,1,34,0.0001942513040547103
SemOpenAlex 100k sample,98,1,33,0.00018853803040604235
SemOpenAlex 100k sample,99,1,32,0.0001828247567573744
SemOpenAlex 100k sample,102,1,31,0.00017711148310870645
SemOpenAlex 100k sample,104,2,30,0.0001713982094600385
SemOpenAlex 100k sample,106,1,28,0.00015997166216270262
SemOpenAlex 100k sample,107,2,27,0.00015425838851403466
SemOpenAlex 100k sample,108,2,25,0.00014283184121669876
SemOpenAlex 100k sample,109,1,23,0.00013140529391936285
SemOpenAlex 100k sample,114,1,22,0.0001256920202706949
SemOpenAlex 100k sample,117,1,21,0.00011997874662202695
SemOpenAlex 100k sample,131,3,20,0.00011426547297335901
SemOpenAlex 100k sample,138,1,17,9.712565202735515e-05
SemOpenAlex 100k sample,143,1,16,9.14123783786872e-05
SemOpenAlex 100k sample,161,1,15,8.569910473001925e-05
SemOpenAlex 100k sample,183,1,14,7.998583108135131e-05
SemOpenAlex 100k sample,185,1,13,7.427255743268336e-05
SemOpenAlex 100k sample,204,1,12,6.85592837840154e-05
SemOpenAlex 100k sample,208,1,11,6.284601013534745e-05
SemOpenAlex 100k sample,212,1,10,5.7132736486679505e-05
SemOpenAlex 100k sample,213,1,9,5.141946283801155e-05
SemOpenAlex 100k sample,225,1,8,4.57061891893436e-05
SemOpenAlex 100k sample,232,1,7,3.9992915540675654e-05
SemOpenAlex 100k sample,254,1,6,3.42796418920077e-05
SemOpenAlex 100k sample,329,1,5,2.8566368243339752e-05
SemOpenAlex 100k sample,409,1,4,2.28530945946718e-05
SemOpenAlex 100k sample,580,1,3,1.713982094600385e-05
SemOpenAlex 100k sample,1054,1,2,1.14265472973359e-05
SemOpenAlex 100k sample,2763,1,1,5.71327364866795e-06
