Dataset,Observed predicates,Shannon entropy (bits),Maximum entropy (bits),Normalized entropy,Effective predicates (2^H),Gini coefficient
YAGO,61,3.2341748682275466,5.930737337562887,0.5453242462355555,9.409870498141848,0.8638371466233356
SemOpenAlex,30,3.4480145142180163,4.906890595608519,0.7026882802938095,10.913292471544647,0.7217129685368529
