Dataset,Domain URI,Domain,Predicate URI,Predicate,Range URI,Range,Property kind,Predicate namespace
YAGO,http://schema.org/TVSeries,TVSeries,http://schema.org/productionCompany,productionCompany,http://schema.org/Organization,Organization,object,http://schema.org/
YAGO,http://schema.org/TVSeries,TVSeries,http://schema.org/numberOfEpisodes,numberOfEpisodes,http://www.w3.org/2001/XMLSchema#decimal,decimal,datatype,http://schema.org/
YAGO,http://schema.org/TVSeries,TVSeries,http://schema.org/locationCreated,locationCreated,http://schema.org/Place,Place,object,http://schema.org/
YAGO,http://schema.org/BodyOfWater,BodyOfWater,http://yago-knowledge.org/resource/flowsInto,flowsInto,http://schema.org/BodyOfWater,BodyOfWater,object,http://yago-knowledge.org/resource/
YAGO,http://schema.org/Event,Event,http://schema.org/endDate,endDate,http://www.w3.org/2001/XMLSchema#dateTime,dateTime,datatype,http://schema.org/
YAGO,http://schema.org/Event,Event,http://schema.org/endDate,endDate,http://www.w3.org/2001/XMLSchema#date,date,datatype,http://schema.org/
YAGO,http://schema.org/Event,Event,http://schema.org/endDate,endDate,http://www.w3.org/2001/XMLSchema#gYearMonth,gYearMonth,datatype,http://schema.org/
YAGO,http://schema.org/Event,Event,http://schema.org/endDate,endDate,http://www.w3.org/2001/XMLSchema#gYear,gYear,datatype,http://schema.org/
YAGO,http://schema.org/Event,Event,http://yago-knowledge.org/resource/follows,follows,http://schema.org/Event,Event,object,http://yago-knowledge.org/resource/
YAGO,http://schema.org/Event,Event,http://schema.org/superEvent,superEvent,http://schema.org/Event,Event,object,http://schema.org/
YAGO,http://schema.org/Event,Event,http://schema.org/sponsor,sponsor,http://schema.org/Organization,Organization,object,http://schema.org/
YAGO,http://schema.org/Event,Event,http://schema.org/sponsor,sponsor,http://schema.org/Person,Person,object,http://schema.org/
YAGO,http://schema.org/Event,Event,http://yago-knowledge.org/resource/participant,participant,http://schema.org/Organization,Organization,object,http://yago-knowledge.org/resource/
YAGO,http://schema.org/Event,Event,http://yago-knowledge.org/resource/participant,participant,http://schema.org/Person,Person,object,http://yago-knowledge.org/resource/
YAGO,http://schema.org/Event,Event,http://schema.org/about,about,http://schema.org/Thing,Thing,object,http://schema.org/
YAGO,http://schema.org/Event,Event,http://schema.org/location,location,http://schema.org/Place,Place,object,http://schema.org/
YAGO,http://schema.org/Event,Event,http://schema.org/startDate,startDate,http://www.w3.org/2001/XMLSchema#dateTime,dateTime,datatype,http://schema.org/
YAGO,http://schema.org/Event,Event,http://schema.org/startDate,startDate,http://www.w3.org/2001/XMLSchema#date,date,datatype,http://schema.org/
YAGO,http://schema.org/Event,Event,http://schema.org/startDate,startDate,http://www.w3.org/2001/XMLSchema#gYearMonth,gYearMonth,datatype,http://schema.org/
