Dataset,Rank,Predicate,Predicate URI,Held-out occurrences,Share,Cumulative share
SemOpenAlex,4,hasAuthorship,https://semopenalex.org/ontology/hasAuthorship,701375,0.07292120880932909,0.6156915316682084
SemOpenAlex,5,creator,http://purl.org/dc/terms/creator,699585,0.07273510442327498,0.6884266360914835
SemOpenAlex,6,hasTopic,https://semopenalex.org/ontology/hasTopic,530332,0.05513805098594777,0.7435646870774313
SemOpenAlex,7,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,367809,0.03824070845261169,0.781805395530043
SemOpenAlex,8,hasLocation,https://semopenalex.org/ontology/hasLocation,343026,0.035664046441673744,0.8174694419717168
SemOpenAlex,9,hasMesh,https://semopenalex.org/ontology/hasMesh,321891,0.03346666309013545,0.8509361050618522
SemOpenAlex,10,hasOpenAccess,https://semopenalex.org/ontology/hasOpenAccess,264066,0.027454659669141752,0.878390764730994
SemOpenAlex,11,hasPrimaryLocation,https://semopenalex.org/ontology/hasPrimaryLocation,261605,0.027198792130550042,0.905589556861544
SemOpenAlex,12,hasPrimaryTopic,https://semopenalex.org/ontology/hasPrimaryTopic,219536,0.02282492318255551,0.9284144800440994
SemOpenAlex,13,sameAs,http://www.w3.org/2002/07/owl#sameAs,193685,0.02013722235356964,0.9485517023976691
SemOpenAlex,14,hasKeyword,https://semopenalex.org/ontology/hasKeyword,172583,0.01794326997674631,0.9664949723744154
SemOpenAlex,15,hasSustainableDevelopmentGoal,https://semopenalex.org/ontology/hasSustainableDevelopmentGoal,127368,0.013242314772591877,0.9797372871470073
SemOpenAlex,16,hasBestOaLocation,https://semopenalex.org/ontology/hasBestOaLocation,62197,0.006466555586261046,0.9862038427332683
SemOpenAlex,17,hasAPCList,https://semopenalex.org/ontology/hasAPCList,52201,0.00542728215441923,0.9916311248876876
SemOpenAlex,18,memberOf,http://www.w3.org/ns/org#memberOf,51873,0.005393180345131103,0.9970243052328187
SemOpenAlex,19,hasFunder,https://semopenalex.org/ontology/hasFunder,16354,0.0017003078935915422,0.9987246131264103
SemOpenAlex,20,hasAPCPaid,https://semopenalex.org/ontology/hasAPCPaid,10042,0.001044056002656614,0.9997686691290669
SemOpenAlex,21,related,http://www.w3.org/2004/02/skos/core#related,1305,0.00013567945463721184,0.9999043485837041
SemOpenAlex,22,broader,http://www.w3.org/2004/02/skos/core#broader,435,4.5226484879070614e-05,0.9999495750685832
SemOpenAlex,23,location,https://dbpedia.org/ontology/location,113,1.1748489175482712e-05,0.9999613235577587
SemOpenAlex,24,seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso,108,1.122864452170029e-05,0.9999725522022804
SemOpenAlex,25,hasHostOrganization,https://semopenalex.org/ontology/hasHostOrganization,90,9.357203768083577e-06,0.9999819094060485
SemOpenAlex,26,inScheme,http://www.w3.org/2004/02/skos/core#inScheme,88,9.149265906570608e-06,0.999991058671955
SemOpenAlex,27,hasAPC,https://semopenalex.org/ontology/hasAPC,36,3.7428815072334306e-06,0.9999948015534623
SemOpenAlex,28,hasChildInstitution,https://semopenalex.org/ontology/hasChildInstitution,26,2.7031921996685885e-06,0.999997504745662
SemOpenAlex,29,hasParentInstitution,https://semopenalex.org/ontology/hasParentInstitution,16,1.6635028921037469e-06,0.9999991682485541
SemOpenAlex,30,hasAssociatedInstitution,https://semopenalex.org/ontology/hasAssociatedInstitution,8,8.317514460518734e-07,1.0000000000000002
